,booking_ID,traveller_ID,company_ID,booking_date,departure_date,origin,destination,price_usd,status
0,4025741954330767167,301,2,2019-01-02,2019-04-20,Sao Paolo,Milano,67,BOOKED
1,5401900986077032623,286,12,2019-01-02,2019-04-16,Beijing,Brussels,150,BOOKED
2,7954793568595977968,136,12,2019-01-02,2019-04-28,Toronto,Budapest,594,BOOKED
3,2008916062229464357,442,18,2019-01-02,2019-03-03,Moscow,Dubai,532,BOOKED
4,3817049762679670509,249,25,2019-01-02,2019-04-27,Prague,Sydney,358,BOOKED
5,4736026050612791660,394,20,2019-01-02,2019-04-08,Amsterdam,Prague,404,BOOKED
6,5445573832362400461,151,2,2019-01-02,2019-04-02,Tokyo,Prague,735,BOOKED
7,8899959262333015213,491,17,2019-01-02,2019-04-24,Sao Paolo,Toronto,377,BOOKED
8,5505929669249881596,1,2,2019-01-02,2019-04-25,Stockholm,Sydney,542,BOOKED
9,932967502532180362,333,9,2019-01-03,2019-03-13,London,Amsterdam,35,BOOKED
10,8958699278754677028,72,23,2019-01-03,2019-05-01,Amsterdam,Sao Paolo,424,BOOKED
11,3563687441651781588,450,1,2019-01-03,2019-04-15,London,Kiev,104,BOOKED
12,5034065688411746299,401,2,2019-01-03,2019-03-21,Sydney,Munich,685,BOOKED
13,46581725754334612,455,6,2019-01-03,2019-03-11,Madrid,Amsterdam,807,BOOKED
14,5406499396220123365,338,14,2019-01-03,2019-04-21,Bogota,New Delhi,264,BOOKED
15,1070514385697662289,34,10,2019-01-03,2019-04-28,Brussels,Toronto,643,BOOKED
16,7945465544299699393,260,11,2019-01-03,2019-03-28,Amsterdam,Buenos Aires,539,BOOKED
17,5419416917478222919,353,4,2019-01-03,2019-03-22,Amsterdam,Prague,708,BOOKED
18,3208879539356526984,243,19,2019-01-04,2019-04-07,New Mexico,Paris,386,BOOKED
19,3416150315339723638,426,2,2019-01-04,2019-03-25,Johannesburg,Milano,178,BOOKED
20,7902749254923003231,29,5,2019-01-04,2019-04-04,Sydney,Berlin,393,BOOKED
21,4160104503826973633,96,22,2019-01-04,2019-04-25,Prague,Amsterdam,765,BOOKED
22,8877646462003698589,73,24,2019-01-04,2019-04-18,Amsterdam,Warsaw,552,BOOKED
23,82769567086095022,196,22,2019-01-04,2019-04-22,Toronto,Sydney,789,BOOKED
24,6378938855252798550,476,2,2019-01-04,2019-03-29,Brussels,Berlin,588,BOOKED
25,8985341858820843759,54,5,2019-01-04,2019-04-06,Sydney,Sao Paolo,404,BOOKED
26,1748112979674287238,382,8,2019-01-04,2019-04-02,Sao Paolo,Paris,301,BOOKED
27,810238233564192132,449,25,2019-01-04,2019-03-08,Amsterdam,Sydney,685,BOOKED
28,4093936602461505965,68,19,2019-01-04,2019-03-12,Dubai,Amsterdam,153,BOOKED
29,2611947172037142982,146,22,2019-01-04,2019-03-14,Stockholm,Lausanne,158,BOOKED
30,2347778780061548693,365,16,2019-01-04,2019-04-22,Amsterdam,Tokyo,117,BOOKED
31,6645713506800004263,264,15,2019-01-05,2019-03-13,Tokyo,Los Angeles,716,BOOKED
32,5075438669725729751,421,22,2019-01-05,2019-03-26,Amsterdam,Paris,246,BOOKED
