,trip_ID,traveller_ID,company_ID,departure_date,origin,destination,price_usd,trip_date
0,5530480399258546281,24,25,2021-07-22,Buenos Aires,Moscow,1631,2021-06-20
1,4280487789564480831,336,12,2019-11-22,Los Angeles,New Delhi,1623,2019-11-17
2,8665632376299628473,133,9,2020-03-18,Hong Kong,Sydney,1615,2020-02-11
3,2445093056249468042,57,8,2021-11-08,Sydney,Athens,1609,2021-08-19
4,2847255606546295835,373,24,2019-09-26,Hong Kong,New Mexico,1606,2019-07-03
5,1690339785055030338,417,18,2021-04-08,Brussels,Paris,1598,2021-03-27
6,7015165546587518154,230,6,2019-10-20,Bogota,Oslo,1596,2019-07-29
7,8481496576655952146,462,13,2021-04-04,Sofia,Bogota,1595,2021-03-31
8,6480885577037292406,221,22,2022-06-01,Sydney,Budapest,1594,2022-03-26
9,2297637892151325800,401,2,2020-06-09,Cairo,Milano,1591,2020-02-23
10,7115118185422060858,165,16,2022-03-28,Prague,Bogota,1589,2022-03-28
11,5164634834447364816,483,9,2019-04-14,Buenos Aires,Sydney,1589,2019-02-25
12,3152354769796642032,314,15,2021-11-21,Sydney,Moscow,1585,2021-11-19
13,2037062916479656702,115,16,2019-12-06,New Delhi,Sydney,1584,2019-11-03
14,2758772145836688146,68,19,2021-02-20,Beijing,Sao Paolo,1584,2020-12-02
15,7490770352899563833,403,4,2021-05-06,Berlin,Dubai,1581,2021-04-06
16,3249549059754416773,224,25,2021-10-10,Paris,Sydney,1576,2021-09-17
17,8442402001000947945,206,7,2021-03-07,Moscow,Prague,1575,2021-02-04
18,4670789158719286037,149,25,2019-06-05,Bogota,Sao Paolo,1574,2019-05-25
19,7438610974931389052,334,10,2021-08-03,Sao Paolo,Hong Kong,1573,2021-07-10
20,2208873011587055470,171,22,2020-03-28,Madrid,Sydney,1573,2020-01-28
21,8693384260710335818,449,25,2019-11-27,Toronto,Sydney,1569,2019-08-28
22,326530496938508017,146,22,2020-06-18,Budapest,Oslo,1568,2020-04-20
23,6041672384927469499,385,11,2019-08-13,London,Sao Paolo,1567,2019-06-14
24,7059662043651789619,465,16,2021-06-21,Buenos Aires,Paris,1567,2021-04-27
25,1719485273995779046,161,12,2021-09-11,Berlin,Amsterdam,1557,2021-06-23
26,904106914398128823,134,10,2021-07-23,Hong Kong,Budapest,1555,2021-06-29
27,4018750836833515311,285,11,2021-02-17,Bogota,Amsterdam,1552,2021-01-02
28,2159601734700678298,257,8,2022-03-23,Sofia,Sydney,1550,2022-03-07
29,3208147592498046809,322,23,2022-05-08,Sao Paolo,Sydney,1550,2022-04-21
30,5120743305975332710,308,9,2019-04-19,Kiev,Tokyo,1547,2019-03-20
31,3182019038168011096,491,17,2021-10-17,Moscow,Budapest,1547,2021-09-24
32,57704159006938014,311,12,2021-07-25,Munich,Amsterdam,1545,2021-06-14
33,5910155816647154082,79,5,2022-04-24,London,Moscow,1542,2022-04-23
34,5449367870795722523,411,12,2021-06-10,Kiev,Hong Kong,1539,2021-04-01
35,693630730769859768,299,25,2020-08-18,Dubai,Amsterdam,1538,2020-06-03
36,5048163454941582168,403,4,2021-07-03,Toronto,Dubai,1537,2021-05-20
37,3865649314917927724,493,19,2021-07-10,Sydney,Amsterdam,1536,2021-05-10
38,7965431713249303646,299,25,2021-10-05,Lisbon,Toronto,1533,2021-10-03
